code,name
7203.T,トヨタ自動車
6758.T,ソニーグループ
9984.T,ソフトバンクグループ
8306.T,三菱UFJフィナンシャルG
6861.T,キーエンス
8035.T,東京エレクトロン
7974.T,任天堂
6954.T,ファナック
9432.T,日本電信電話
9983.T,ファーストリテイリング
4063.T,信越化学工業
6098.T,リクルートHD
4519.T,中外製薬
6367.T,ダイキン工業
6501.T,日立製作所
7741.T,HOYA
6857.T,アドバンテスト
7267.T,ホンダ
8316.T,三井住友FG
8058.T,三菱商事
8031.T,三井物産
8001.T,伊藤忠商事
8766.T,東京海上HD
2914.T,日本たばこ産業
5401.T,日本製鉄
9433.T,KDDI
4689.T,LINEヤフー
3382.T,セブン＆アイ
4901.T,富士フイルム
5020.T,ENEOS
7201.T,日産自動車
9101.T,日本郵船
9104.T,商船三井
8750.T,第一生命
4578.T,大塚HD
6301.T,コマツ
1925.T,大和ハウス
2802.T,味の素
2502.T,アサヒGHD
4005.T,住友化学
7011.T,三菱重工
6981.T,村田製作所
8591.T,オリックス
9020.T,JR東日本
9022.T,JR東海
9531.T,東京ガス
9532.T,大阪ガス
5214.T,日本電気硝子
5332.T,TOTO
5802.T,住友電工
